epsilon,continuation_probability,mistake_probability,TFNT,InverseTitForTat
0.0001,0.5,0.0001,2.387073370920711,4.515381921327791
0.0001,0.5,0.001,2.38871334594296,4.512213472413943
0.0001,0.5,0.01,2.4067946785225547,4.483698970055151
0.0001,0.5,0.1,2.580891955665143,4.189627818060193
0.0001,0.5,1e-05,2.3870662972915415,4.515937706383332
0.0001,0.6,0.0001,2.2593795463067834,4.41974150298726
0.0001,0.6,0.001,2.2607720819780694,4.416982771449429
0.0001,0.6,0.01,2.2774590092195117,4.393015832467447
0.0001,0.6,0.1,2.442844842339971,4.129301770740408
0.0001,0.6,1e-05,2.259475418222649,4.42034521609704
0.0001,0.7,0.0001,2.2089884077466087,4.263562207178178
0.0001,0.7,0.001,2.210025475252175,4.261356186196782
0.0001,0.7,0.01,2.220904188449807,4.240142195877407
0.0001,0.7,0.1,2.3280169987615675,3.9793096399314303
0.0001,0.7,1e-05,2.209188505953094,4.2642734842077585
0.0001,0.8,0.0001,2.224854182452054,4.063327533001584
0.0001,0.8,0.001,2.2250160888654187,4.06130181380249
0.0001,0.8,0.01,2.2252276947959846,4.03649106969926
0.0001,0.8,0.1,2.2111011455659426,3.7127858228972115
0.0001,0.8,1e-05,2.225405389684191,4.06436122278412
0.0001,0.9,0.0001,2.2921057943239624,3.835014384899635
0.0001,0.9,0.001,2.290466347485698,3.8316734581953646
0.0001,0.9,0.01,2.253211191197618,3.7632118116352693
0.0001,0.9,0.1,1.863264929946655,3.005173292873787
0.0001,0.9,1e-05,2.293656825308385,3.8375203425242757
1e-05,0.5,0.0001,2.387257774558617,4.5157414664551325
1e-05,0.5,0.001,2.3891645639370176,4.513071935045972
1e-05,0.5,0.01,2.4080045575070406,4.485786459296892
1e-05,0.5,0.1,2.5885358888691345,4.201929495502785
1e-05,0.5,1e-05,2.3870933310800324,4.5160576599653846
1e-05,0.6,0.0001,2.259690362973815,4.420228568392093
1e-05,0.6,0.001,2.2614488537567126,4.418025839473926
1e-05,0.6,0.01,2.2790884080741725,4.39575065601723
1e-05,0.6,0.1,2.455877731345536,4.149441784120543
1e-05,0.6,1e-05,2.2595262541712815,4.4204623980258795
1e-05,0.7,0.0001,2.2093701417257274,4.264230736965212
1e-05,0.7,0.001,2.2107364856690177,4.2626240029256515
1e-05,0.7,0.01,2.2243172479761952,4.2457384140140135
1e-05,0.7,0.1,2.3589830218129655,4.027187944698366
1e-05,0.7,1e-05,2.209264067678804,4.264446896603345
1e-05,0.8,0.0001,2.225556252430112,4.064400312678401
1e-05,0.8,0.001,2.226360129067716,4.063274503764942
1e-05,0.8,0.01,2.232830454788374,4.04894033547777
1e-05,0.8,0.1,2.2708963520309755,3.804261389811072
1e-05,0.8,1e-05,2.225531254321437,4.064590153645338
1e-05,0.9,0.0001,2.2937794989730835,3.837646581750747
1e-05,0.9,0.001,2.293424485017775,3.8360785816570946
1e-05,0.9,0.01,2.2801235349881477,3.8047506287338955
1e-05,0.9,0.1,2.0043656256100104,3.217915261579688
1e-05,0.9,1e-05,2.2939159743861666,3.8379454110515763
1e-06,0.5,0.0001,2.3873043477026887,4.515825280291752
1e-06,0.5,0.001,2.3892148653068292,4.513140083289524
1e-06,0.5,0.01,2.4082955544353766,4.4862321036913935
1e-06,0.5,0.1,2.5914501991187553,4.206532193491886
1e-06,0.5,1e-05,2.387112736634068,4.516090459465923
1e-06,0.6,0.0001,2.259734494852969,4.420293474942498
1e-06,0.6,0.001,2.2615317632112357,4.418152783591526
1e-06,0.6,0.01,2.2796362691599685,4.3966932312007785
1e-06,0.6,0.1,2.4615337380408713,4.1583598753236
1e-06,0.6,1e-05,2.2595568742249905,4.420509810982548
1e-06,0.7,0.0001,2.209444396977149,4.2643573271921555
1e-06,0.7,0.001,2.210890380485017,4.262859302329328
1e-06,0.7,0.01,2.225516659685483,4.247594963015371
1e-06,0.7,0.1,2.3762707706996733,4.053981151205352
1e-06,0.7,1e-05,2.209303716737236,4.264510351600067
1e-06,0.8,0.0001,2.2256942431497087,4.064606129496362
1e-06,0.8,0.001,2.2265964555112068,4.063632478953067
1e-06,0.8,0.01,2.2356677142175703,4.053374979431236
1e-06,0.8,0.1,2.307289656913859,3.8598912548958983
1e-06,0.8,1e-05,2.22560183605757,4.0646980832303665
1e-06,0.9,0.0001,2.294105550443975,3.838130795206438
1e-06,0.9,0.001,2.294069967851405,3.8370607816470006
1e-06,0.9,0.01,2.2900926295340955,3.820147819739402
1e-06,0.9,0.1,2.097686437402425,3.3589966327259893
1e-06,0.9,1e-05,2.2940750938931487,3.8381864076084593
